,Word,Length,Frequency,Info_given_previous_all_bigrams,Info_given_previous_cleaned_bigrams,Info_given_next_all_bigrams,Info_given_next_cleaned_bigrams
2118,reconocido,10,8051,11.5429950943524,11.7264899179469,10.4904382115274,10.7681558178738
2119,dura,4,8045,11.3628253332353,11.4666577851699,12.1284684358999,12.1600246430973
2120,deber,5,8044,12.247039310817,12.2894644030118,10.7794745191578,10.0088657707887
2121,recepción,9,8041,12.1459736090925,12.0151395863574,12.625242239638,12.5310184813847
2122,llevó,5,8026,10.5752255760963,10.6691264038983,10.4712511322126,10.4201951377807
2123,novedades,9,8025,10.3497335705148,10.3828198636,12.1365640447421,12.1454237017624
2124,correcta,8,8024,10.759910386444,10.7677715725811,11.8185834919227,11.9676363179562
2125,especialista,12,8022,11.9037195884274,11.9538185699161,11.4951094696628,11.462162995808
2126,alianza,7,8016,11.5021857902265,11.4344032533297,10.7350994207719,11.0515612804759
2127,muestras,8,8013,11.2416076083057,11.1912861552692,11.8988889348422,11.9223261923905
2128,médica,6,8012,7.64638360401857,7.71126896517143,12.5866584741229,12.5270204804375
2129,profundidad,11,8011,12.0809310805497,11.9608555539098,12.9878605595265,12.920074530894
2130,partida,7,8010,11.8922605096505,11.7750155930593,12.7203482556455,12.6570906558891
2131,logrado,7,8005,7.7618816411358,7.73363457349281,11.4594884976894,11.5057320397631
2132,deportes,8,8003,11.7731870584096,11.709172406189,11.3122898942775,11.5973168901341
2133,inicia,6,8003,10.2744648048735,10.5754784675367,12.1083809774953,12.1106409060119
2134,cirugía,7,7996,12.2746066197175,12.1672774140629,9.98761663111942,10.6129679536533
2135,canales,7,7992,11.4494183835959,11.4132668079799,11.9010569005886,12.1516261175558
2136,jornadas,8,7991,10.0236603825755,10.3510318505217,11.4213796398821,11.7051698852228
2137,privadas,8,7987,9.09350234871607,9.06617592957528,12.766109494514,12.6223972712415
2138,accesorios,10,7981,11.4996679689137,11.3957095553335,11.6687057030598,11.7524888474775
