,Word,Length,Frequency,Info_given_previous_all_bigrams,Info_given_previous_cleaned_bigrams,Info_given_next_all_bigrams,Info_given_next_cleaned_bigrams
183,كبير,4,89015,5.80450011101494,5.73090700065887,8.85889476595485,8.86715628772488
184,يا,2,88754,7.29471401888123,7.68950870165145,5.52616938165267,5.76112466938872
185,ألف,3,88478,4.83106956335596,4.88291895645592,4.93383523843316,4.8521090236073
186,لبنان,5,87902,8.26949643195623,8.23573337579509,9.27652378447417,9.36224396125994
187,الوزراء,7,87611,3.55355241315789,3.48297116694224,7.36143854152167,7.4396645938496
188,وقالت,5,87330,11.0634525635687,11.3374986965536,6.2974958173529,6.30544490223724
189,وأن,3,87179,8.65723970451181,8.71094592644962,8.40727761735582,8.43221419211825
190,سنوات,5,86759,4.47787897263562,4.41352785705682,8.79249295896238,8.77674406189082
191,السياسية,8,86462,5.21083957068477,5.2182900476448,8.38184074368461,8.48230489198655
192,نفسه,4,86378,7.00804387410168,6.9640751950429,9.39067179648271,9.40628947289133
193,السوري,6,86291,4.77345691073287,4.65747596188421,8.14524813568036,8.07302160669655
194,كبيرة,5,86263,5.81708821959073,5.79356125243491,8.94476846267838,8.92711378319637
195,لأن,3,86037,8.99570163138949,9.1060451615905,9.01552918293996,9.02960483850868
196,موقع,4,85429,7.95451916207113,8.10671515676835,5.45960556678451,8.02191115489816
197,كيف,3,85093,8.35136565881938,8.44425170391998,6.54499445775289,6.58875547011443
198,وعلى,4,84668,9.57979149793586,9.74404799469965,6.41809419419157,6.37137640209566
199,وقت,3,84152,7.29207889519347,7.24326862975364,4.80713915084992,4.71796096291496
200,أول,3,83988,8.83179561907463,9.03459137180756,7.63034868740506,7.59072208058762
201,اليمن,5,83285,8.10634508684261,8.05004557247561,9.23312842975646,9.23616009610787
202,أم,2,83271,9.40310740515287,9.56144462775685,7.92788831924222,8.33511124998129
203,المجلس,6,83122,7.59685637379405,7.54118772646678,7.00372073832908,7.05306924250069
204,المملكة,7,82382,8.15881689643465,8.08689157299577,8.14568079680234,8.10817466790329
205,دول,3,82208,8.36768228243985,8.30793084811638,5.45265161055828,5.41189359229901
206,مستوى,5,82040,7.03284296415208,6.95427628039843,7.77301598235564,7.81692331089798
207,الجديد,6,81188,6.82476222615714,6.80461119251908,9.44367950308031,9.56177732286878
208,حزب,3,81156,8.50112386187746,8.44716475832402,5.17452892427873,5.14508136583545
209,وكانت,5,80795,10.4254709115669,10.7813476446808,8.11132695850659,8.12034830581547
210,الوطنية,7,80545,5.62434526119283,5.64924479731953,8.4715493990439,8.59974154497703
211,مما,3,80265,8.691429071309,8.81533659157183,5.7362498536696,5.74696927633297
212,أكبر,4,79699,8.66449572081043,8.66954465681666,7.74542110338537,7.71244521052065
213,قوات,4,79617,7.73518787843738,7.70922346697694,4.8793913844522,5.03855972192435
214,جدا,3,79536,5.46216304904931,5.41583174839028,9.21807124077345,9.26789059596637
215,عمل,3,79442,8.06959553793014,8.01881567416885,8.69526616870212,8.78626753700762
216,إنه,3,78740,8.23507258987541,8.34035388254647,8.28410452916207,8.21640429538866
217,لهم,3,78423,7.44123241451277,7.53277030035034,9.2321015321307,9.38021204933086
218,الخميس,6,77534,6.40067278140455,6.26984219566828,7.70256392575131,7.48078866430423
219,الجمعة,6,76650,6.28857769282932,6.13561509096445,8.27898966807868,8.09071888503067
220,صحيفة,5,76313,5.77983496716041,5.65861939218864,4.44637044540451,4.72125618753318
221,القوات,6,75781,8.15529115038327,8.09813047795819,4.64411312346093,4.58349560956134
