,Word,Length,Frequency,Info_given_previous_all_bigrams,Info_given_previous_cleaned_bigrams,Info_given_next_all_bigrams,Info_given_next_cleaned_bigrams
4763,suorittanut,11,2278,10.4432637746476,10.9509007542511,8.37616972691634,10.0946732784726
4764,heikentää,9,2277,10.5502894782413,10.9510270560101,9.30502131001921,10.0592533775358
4765,käyttöönsä,10,2277,8.91171073900318,9.26077477544539,11.0470873353297,12.0768117572119
4766,rakennuksessa,13,2276,9.05691265860707,9.40868437185731,12.2638848215789,12.2638431716352
4767,nykyisten,9,2276,11.8434215656586,12.1565245202481,6.94229247786366,8.49817600637728
4768,tappaa,6,2276,10.5445771262861,10.824855954877,10.9289485062953,11.4293877924514
4769,välttämätöntä,13,2276,11.5307062030511,11.554321601307,12.5539325769034,12.5716288725003
4770,tutkimus-,9,2276,10.2380893510106,11.008563193211,11.4186701273962,11.0297920387352
4771,tuhatta,7,2275,8.63774899492917,8.59477698724135,9.37863393130402,9.74024745036997
4772,äänesti,7,2275,8.55943906006264,9.03256301998601,9.78244629077599,10.2279746947701
4773,saadakseen,10,2274,9.21897654686275,10.0888294245213,9.8291206280558,10.4234018033761
4774,lahja,5,2274,10.2773883420989,10.332414524734,12.1576356664727,12.6475657630741
4775,opinnot,7,2273,8.51011254047749,9.31443818225079,10.9418423006763,11.1428251453658
4776,venäjää,7,2272,10.1125562919381,10.4419976269292,10.610512449927,10.6735187745837
4777,viestejä,8,2272,9.09746617163788,9.46200600424586,12.2377256475526,12.5294692902808
4778,hoitajia,8,2271,10.7603179002334,10.906453921857,12.6366115772908,12.6625179336485
4779,nostettu,8,2270,11.2745175231277,11.5452967263567,9.59854213640671,10.0364502657993
4780,esityksiä,9,2269,9.86017908646313,10.45083532602,12.5591496460543,12.8609470533826
4781,pelattiin,9,2269,8.90710938588493,9.96865485692714,10.2002975352142,11.14074491885
4782,päättäjien,10,2269,10.9472310887034,11.1300276518654,10.1822544074406,10.3969404145299
4783,päästy,6,2269,11.6503288304602,11.7108032969441,10.1845303148572,10.3524992410892
4784,ostanut,7,2269,11.4137876387426,11.5365266082685,9.51880194950147,11.1508143474685
4785,perusteet,9,2267,7.93524067038264,9.03058629308155,12.0153654631143,12.6374023467613
4786,pihalle,7,2267,9.17416308723324,9.78970291524752,12.1744424878304,12.4827519149187
4787,tuominen,8,2266,9.22170017976446,10.5413925134389,11.9035653607523,11.7890017052874
4788,aiheeseen,9,2266,9.70966502303958,9.94277398506402,10.3190405464688,10.2649385607894
4789,päätä,5,2265,10.6275394759626,10.9758860186583,10.3706108751836,10.7533132665409
4790,ottelusta,9,2265,8.18663696455168,8.29503176045291,11.6516769981016,12.0281427180045
4791,ammattilaisia,13,2265,8.02753984787675,8.41544441803055,12.9606831902423,12.9379447727532
4792,maksuton,8,2265,11.7829814428763,11.8640060757439,9.86882547997058,11.0208507119845
4793,korkeimman,10,2264,11.2122730994477,11.7275135762929,4.36640150316858,4.39522540695822
4794,äkkiä,5,2264,11.1862872599262,11.7007176582569,11.0739460585507,11.5335333228304
4795,internetissä,12,2264,10.8391580015389,11.3490182809598,11.6117837264414,11.9354129145037
4796,hienot,6,2264,11.6487536008147,11.8793847161317,7.58633247964831,7.99945182995095
4797,lämpöä,6,2263,10.9856892306325,11.0952180433306,12.2597235588404,12.4728002946768
4798,pitääkö,7,2263,11.9813516651186,11.834600570931,10.3838944822555,10.8227821450408
4799,innolla,7,2262,8.91839200107747,9.03857890469014,11.2770134910978,11.7241931656879
4800,suosituin,9,2262,9.64039374033724,9.92837515281015,7.83460403227038,9.12478818387288
4801,mielenkiintoisia,16,2262,11.5148200287169,11.5854146919691,8.65097141257517,9.30435533424347
4802,malleja,7,2262,9.04615109483168,9.59808284511581,12.6198581251585,12.8733338712426
4803,liikkuvat,9,2261,9.14816777931121,9.89023729350044,10.7228524936756,11.219418987238
4804,alkuvaiheessa,13,2261,10.0272285118746,10.4689521149148,11.9298085848241,12.4597283052141
4805,kristittyjen,12,2261,11.1691314740957,11.4498251676507,9.14306004564883,9.48690595479616
4806,myi,3,2260,9.19481898115091,10.8330605955687,8.980636338682,10.1735247791135
4807,vienyt,6,2259,11.7772347451595,11.8216183627857,9.82837895863272,10.6599067606233
4808,viikonloppuisin,15,2259,12.0044754621038,12.0695021782842,12.2214420533761,12.4629416257291
