,Word,Length,Frequency,Info_given_previous_all_bigrams,Info_given_previous_cleaned_bigrams,Info_given_next_all_bigrams,Info_given_next_cleaned_bigrams
42,bahwa,5,305036,4.66130320116596,4.50649035302515,7.61206791228171,7.66404601828302
43,secara,6,303151,7.62141896915075,7.69306490067129,3.69363793909664,3.63504757901568
44,banyak,6,299788,7.02214713774165,6.87843025984216,7.13437672821426,7.07739900693751
45,para,4,299235,7.18367925137561,7.00246178232439,3.71677879077346,3.71069911945631
46,sangat,6,288869,7.4634430099545,7.38746961132001,4.56668829139759,4.49653087325645
47,masih,5,285878,7.73229423424907,7.74117867575069,6.0211676711487,5.95013037952744
48,baru,4,285725,6.96043493389865,6.96309369862338,8.02730357456663,7.88067340228915
49,hal,3,282070,7.16302233873061,7.01667644746454,5.54931714108221,5.35757903445635
50,bagi,4,279804,6.56477485478936,6.45203532257092,6.19660644846601,6.07033185652815
51,rumah,5,279366,6.45972511466502,6.34846620831469,5.90534226147555,5.89275361707497
52,lain,4,279161,5.71972972256695,5.53513249886338,7.6598670138808,7.36952620753481
53,merupakan,9,278824,7.44469186725669,7.61637355216129,5.98911682392436,5.90276923172934
54,kata,4,276757,4.64098261846328,4.33946551326754,4.30808553495486,4.28460280717973
55,memiliki,8,272071,7.50765383046294,7.45087508743527,5.78248377471516,5.70875687286877
56,baik,4,269920,6.69915301258736,6.53384657228643,8.06116031168474,7.8137742344176
57,masyarakat,10,267895,6.56258482150905,6.42897252648093,7.72826809282826,7.58337883901081
58,jika,4,258115,7.65500101510307,7.49298109897237,6.98893638371392,6.86570501379764
59,dia,3,252205,7.08525069670248,6.76252361308555,7.38441087620684,7.13238747819379
60,namun,5,248140,7.99914751722894,7.69819085749609,7.6434919224838,7.45330407202383
61,hari,4,245573,6.06507576746853,5.84497976691701,6.73204297793859,6.90014008232266
62,dilakukan,9,227287,7.08661988117691,6.97317799480432,7.24618018480061,7.05122650227905
63,beberapa,8,225134,7.94665133948791,7.75342799638507,6.38713569059152,6.32326217869647
64,ia,2,222660,7.88090138777498,7.72563275704197,6.51024484746441,6.29877866335877
65,melakukan,9,218477,7.50830325531205,7.36206767924949,4.94781500039749,5.02248543842484
66,tak,3,215853,8.23281321415962,8.2032739429345,5.36964036276882,5.32798674931175
67,salah,5,215660,7.31027033005965,7.11739502187377,2.30001082105683,2.21043270678197
68,saja,4,214416,6.15358098528851,5.97666195939638,8.61027593974499,8.37974287333726
69,kota,4,212670,6.68223348785501,6.670205992191,5.643048878559,7.064068511756
70,besar,5,208750,5.64298481919995,5.49850114998376,8.59219366931749,8.4386878610107
71,maka,4,203948,7.34200186484343,7.06329703043797,7.82123806437514,7.92278100517581
72,harga,5,202676,6.67934875244246,6.74776807167949,5.44457945799341,5.52764549432077
73,setelah,7,201521,8.536105598495,8.46810940000023,7.29307395850296,7.27208400707582
74,semua,5,201509,7.76448552901789,7.65387547632447,7.53364749007943,7.48440098102814
75,lalu,4,200785,5.92860706527891,5.86191699739067,7.85095199999685,7.61874469840759
76,pemerintah,10,199052,7.45844678487158,7.26256738473678,7.31966871766464,7.14601977202824
77,sehingga,8,197386,8.11759058809924,7.98468401788586,7.92271105989728,7.8495231882134
78,serta,5,197018,8.09695318414166,8.05612518483591,8.10088623680389,8.186006846397
79,terhadap,8,193836,6.47625440677451,6.43737797170237,7.18174918585341,7.20624167382177
80,belum,5,193541,7.98757497407444,7.92645952787759,5.9844451142687,5.9258509954835
81,atas,4,190942,6.60474290666706,6.39215405984272,7.53498866107524,7.58229736443639
82,dua,3,189658,7.87996123493929,7.76653731858001,6.73374699839525,6.600584088062
83,tentang,7,186890,5.88207766174106,5.87033564313279,7.02653133698586,7.17037790315677
84,lagi,4,184938,7.03365436206922,7.00656118094998,8.76336679520331,8.62432171130318
85,waktu,5,181919,6.14179374377505,6.03133269966603,7.65272153994836,7.5419642597311
86,negara,6,181128,7.00949690685384,6.84575827637863,7.93901710620832,7.81461089039559
87,agar,4,181018,7.60357579555253,7.59577778178972,7.75768905230538,7.66812018473155
88,daerah,6,177802,6.72918989793914,6.48677273912671,7.96733032306186,7.95845160801727
89,perusahaan,10,177032,7.83010606045455,7.64615376019722,7.8134411881454,7.84000245738305
90,memberikan,10,170682,7.91634477726865,7.88891835657227,5.38594750872666,5.33462403860897
91,hingga,6,169105,8.33073666180885,8.3777564938748,6.90523749329946,6.82667828132119
92,hasil,5,168744,7.74409380241124,7.59244213734278,5.79595395123214,5.80166489369886
93,membuat,7,167963,8.29665948717797,8.19482523410095,7.50669246911151,7.55537348068372
94,sebuah,6,166247,7.91446205123739,7.74495044255284,6.69773709411061,6.68207491333357
95,menggunakan,11,165211,8.0510225146955,7.98032554429467,6.08570147743251,6.22508223030049
96,program,7,164964,8.05495920703809,7.95347579145586,6.59746377335193,6.96625395737543
97,selama,6,163368,8.50549284826604,8.60922632651738,6.09314522838157,5.95422323330313
